FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
lvgl\src\lv_themes\lv_theme_night.c,681,static void table_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,146,static void label_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,293,static void gauge_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,false
lvgl\src\lv_misc\lv_ll.c,50,"void lv_ll_init(lv_ll_t * ll_p, uint32_t node_size)",2.7941177,1.2941177,1.5,0.0,17,11,18,2,3,2,0,1,false
lvgl\src\lv_core\lv_obj.c,2022,const lv_style_t * lv_obj_get_style(const lv_obj_t * obj),2.7904763,1.4571428,1.3333334,0.0,35,17,26,3,4,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,273,static void img_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_default.c,86,static void label_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_default.c,146,static void slider_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,176,static void img_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,247,static void slider_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,263,static void img_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,157,static void label_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,164,static void img_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,235,static void slider_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,276,static void lmeter_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,false
lvgl\src\lv_core\lv_obj.c,1171,"void lv_obj_set_auto_realign(lv_obj_t * obj, bool en)",2.7727273,1.2727273,1.5,0.0,11,7,13,2,3,2,0,1,false
